,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
0,No Data,"4 (Jan 30, 2020)","Zolo Realty, Brokerage",43.02 x 117 Feet,E4679213,No Data,Bungalow-Raised,"$3,146 /yr",Detached,8,47 Morningside Avenue,Toronto,Guildwood,"$919,997 ",,,,,
1,0-5 years,"15 (Jan 19, 2020)","Zolo Realty, Brokerage",70.00 x 115 Feet,C4671340,5000 sqft,3-Storey,"$10,920 /yr",Detached,20,28 Caswell Drive,Toronto,Willowdale East,"$3,998,000 ",,,,,
2,No Data,"1 (Feb 3, 2020)","Right At Home Realty Inc., Brokerage",50.00 x 120 Feet,E4682826,No Data,Bungalow,No Data,Detached,21,280 Guildwood Parkway,Toronto,Guildwood,"$1,311,113 ",,,,,
3,New,"1 (Feb 3, 2020)","Sultan Realty Inc., Brokerage",25.00 x 125 Feet,E4682742,No Data,2-Storey,No Data,Detached,63,90 Furnival Road,Toronto,O'connor-parkview,"$1,420,000 ",,,,,
4,No Data,"1 (Feb 3, 2020)","Re/max Realtron Eli Bakhtiari Team Realty, Brokerage",52.49 x 170 Feet,C4682628,No Data,2-Storey,"$12,119 /yr",Detached,13,23 Caravan Drive,Toronto,Banbury-don Mills,"$2,798,000 ",,,,,
5,0-5 years,"1 (Feb 3, 2020)","Citysites Realty Inc., Brokerage",20.33 x 80 Feet,W4682548,2500-3000 sqft,3-Storey,"$6,100 /yr",Detached,85,1012 Shaw Street,Toronto,Dovercourt-wallace Emerson-junction,"$1,999,000 ",,,,,
6,No Data,"1 (Feb 3, 2020)","Re/max Crossroads Realty Inc., Brokerage",40.75 x 112 Feet,E4682590,No Data,Bungalow,"$2,693 /yr",Detached,68,10 Willsteven Drive,Toronto,Woburn,"$849,000 ",,,,,
7,No Data,"1 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",31.17 x 133 Feet,W4682503,No Data,Bungalow-Raised,"$5,151 /yr",Detached,43,38 Ellis Avenue,Toronto,High Park-swansea,"$1,399,000 ",,,,,
8,0-5 years,"1 (Feb 3, 2020)","Homelife Frontier Realty Inc., Brokerage",25.00 x 132 Feet,C4682509,2000-2500 sqft,2-Storey,"$8,647 /yr",Detached,70,80 Cameron Avenue,Toronto,Lansing-westgate,"$1,787,000 ",,,,,
9,No Data,"1 (Feb 3, 2020)","Sotheby`s International Realty Canada, Brokerage",40.00 x 265 Feet,C4682499,No Data,2-Storey,"$11,718 /yr",Detached,40,7 Douglas Crescent,Toronto,Leaside,"$4,188,000 ",,,,,
10,No Data,"1 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",31.04 x 100 Feet,C4682494,No Data,2-Storey,"$7,808 /yr",Detached,86,30 Walder Avenue,Toronto,Mount Pleasant East,"$2,158,000 ",,,,,
11,51-99 years,"1 (Feb 3, 2020)","Chestnut Park Real Estate Limited, Brokerage",39.70 x 159.5 Feet,C4682458,2500-3000 sqft,2-Storey,"$10,079 /yr",Detached,24,9 Pinedale Road,Toronto,Bridle Path-sunnybrook-york Mills,"$2,550,000 ",,,,,
12,No Data,"1 (Feb 3, 2020)","Re/max Realtron Realty Inc., Brokerage",44.00 x 219.36 Feet,C4682431,No Data,2-Storey,No Data,Detached,68,40 Tobruk Crescent,Toronto,Newtonbrook East,"$2,488,000 ",,,,,
13,51-99 years,"1 (Feb 3, 2020)","Royal Lepage In Touch Realty, Brokerage",50.00 x 150 Feet,W4682381,No Data,Bungalow,"$3,746 /yr",Detached,32,3 Amber Crescent,Toronto,Maple Leaf,"$975,000 ",,,,,
14,No Data,"1 (Feb 3, 2020)","Keller Williams Advantage Realty, Brokerage",26.00 x 100 Feet,E4682394,2000-2500 sqft,2-Storey,"$3,078 /yr",Detached,86,212 Woodmount Avenue,Toronto,Danforth Village-east York,"$1,198,000 ",,,,,
15,51-99 years,"1 (Feb 3, 2020)","Blue Elephant Realty Inc., Brokerage",37.99 x 115 Feet,C4682373,No Data,2-Storey,"$8,473 /yr",Detached,43,1 Coldstream Avenue,Toronto,Lawrence Park South,"$1,739,000 ",,,,,
16,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Batori Group Inc., Brokerage",25.00 x 130 Feet,C4682360,No Data,2-Storey,"$7,794 /yr",Detached,72,149 Bannockburn Avenue,Toronto,Bedford Park-nortown,"$1,729,000 ",,,,,
17,No Data,"1 (Feb 3, 2020)","Royal Lepage Supreme Realty, Brokerage",25.00 x 193.14 Feet,W4682272,No Data,Bungalow,"$2,356 /yr",Detached,45,3585 Eglinton Avenue,Toronto,Mount Dennis,"$575,000 ",,,,,
18,New,"1 (Feb 3, 2020)","Royal Lepage Realty Centre, Brokerage",33.00 x 205.28 Feet,W4682242,3000-3500 sqft,2-Storey,No Data,Detached,31,95 Falstaff Avenue,Toronto,Maple Leaf,"$1,849,900 ",,,,,
19,No Data,"1 (Feb 3, 2020)","Ilistrealestate Inc., Brokerage",40.00 x 125 Feet,E4682281,No Data,Bungalow,"$3,223 /yr",Detached,72,1192 Warden Avenue,Toronto,Wexford-maryvale,"$699,900 ",,,,,
20,No Data,"1 (Feb 3, 2020)","Re/max West Realty Inc., Brokerage",45.00 x 176.41 Feet,E4681444,No Data,Backsplit 4,"$3,410 /yr",Detached,35,93 Marilake Drive,Toronto,Agincourt South-malvern West,"$978,000 ",,,,,
21,51-99 years,"1 (Feb 3, 2020)","Sotheby`s International Realty Canada, Brokerage",50.00 x 125 Feet,C4682300,2000-2500 sqft,2-Storey,"$11,997 /yr",Detached,47,165 Golfdale Road,Toronto,Lawrence Park North,"$3,266,000 ",,,,,
22,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",60.00 x 104.91 Feet,C4682286,No Data,2-Storey,"$5,718 /yr",Detached,54,5 Averdon Crescent,Toronto,Parkwoods-donalda,"$1,395,000 ",,,,,
23,No Data,"1 (Feb 3, 2020)","Revolution Realty Inc., Brokerage",32.02 x 80.25 Feet,C4682259,No Data,2-Storey,"$9,474 /yr",Detached,70,19 Clarendon Avenue,Toronto,Casa Loma,"$3,600,000 ",,,,,
24,No Data,"4 (Jan 30, 2020)","Zolo Realty, Brokerage",43.02 x 117 Feet,E4679213,No Data,Bungalow-Raised,"$3,146 /yr",Detached,8,47 Morningside Avenue,Toronto,Guildwood,"$919,997 ",,,,,
25,0-5 years,"15 (Jan 19, 2020)","Zolo Realty, Brokerage",70.00 x 115 Feet,C4671340,5000 sqft,3-Storey,"$10,920 /yr",Detached,20,28 Caswell Drive,Toronto,Willowdale East,"$3,998,000 ",,,,,
26,No Data,"1 (Feb 3, 2020)","Right At Home Realty Inc., Brokerage",50.00 x 120 Feet,E4682826,No Data,Bungalow,No Data,Detached,21,280 Guildwood Parkway,Toronto,Guildwood,"$1,311,113 ",,,,,
27,New,"1 (Feb 3, 2020)","Sultan Realty Inc., Brokerage",25.00 x 125 Feet,E4682742,No Data,2-Storey,No Data,Detached,63,90 Furnival Road,Toronto,O'connor-parkview,"$1,420,000 ",,,,,
28,No Data,"1 (Feb 3, 2020)","Re/max Realtron Eli Bakhtiari Team Realty, Brokerage",52.49 x 170 Feet,C4682628,No Data,2-Storey,"$12,119 /yr",Detached,13,23 Caravan Drive,Toronto,Banbury-don Mills,"$2,798,000 ",,,,,
29,0-5 years,"1 (Feb 3, 2020)","Citysites Realty Inc., Brokerage",20.33 x 80 Feet,W4682548,2500-3000 sqft,3-Storey,"$6,100 /yr",Detached,85,1012 Shaw Street,Toronto,Dovercourt-wallace Emerson-junction,"$1,999,000 ",,,,,
30,No Data,"1 (Feb 3, 2020)","Re/max Crossroads Realty Inc., Brokerage",40.75 x 112 Feet,E4682590,No Data,Bungalow,"$2,693 /yr",Detached,68,10 Willsteven Drive,Toronto,Woburn,"$849,000 ",,,,,
31,No Data,"1 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",31.17 x 133 Feet,W4682503,No Data,Bungalow-Raised,"$5,151 /yr",Detached,43,38 Ellis Avenue,Toronto,High Park-swansea,"$1,399,000 ",,,,,
32,0-5 years,"1 (Feb 3, 2020)","Homelife Frontier Realty Inc., Brokerage",25.00 x 132 Feet,C4682509,2000-2500 sqft,2-Storey,"$8,647 /yr",Detached,70,80 Cameron Avenue,Toronto,Lansing-westgate,"$1,787,000 ",,,,,
33,No Data,"1 (Feb 3, 2020)","Sotheby`s International Realty Canada, Brokerage",40.00 x 265 Feet,C4682499,No Data,2-Storey,"$11,718 /yr",Detached,40,7 Douglas Crescent,Toronto,Leaside,"$4,188,000 ",,,,,
34,No Data,"1 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",31.04 x 100 Feet,C4682494,No Data,2-Storey,"$7,808 /yr",Detached,86,30 Walder Avenue,Toronto,Mount Pleasant East,"$2,158,000 ",,,,,
35,51-99 years,"1 (Feb 3, 2020)","Chestnut Park Real Estate Limited, Brokerage",39.70 x 159.5 Feet,C4682458,2500-3000 sqft,2-Storey,"$10,079 /yr",Detached,24,9 Pinedale Road,Toronto,Bridle Path-sunnybrook-york Mills,"$2,550,000 ",,,,,
36,No Data,"1 (Feb 3, 2020)","Re/max Realtron Realty Inc., Brokerage",44.00 x 219.36 Feet,C4682431,No Data,2-Storey,No Data,Detached,68,40 Tobruk Crescent,Toronto,Newtonbrook East,"$2,488,000 ",,,,,
37,51-99 years,"1 (Feb 3, 2020)","Royal Lepage In Touch Realty, Brokerage",50.00 x 150 Feet,W4682381,No Data,Bungalow,"$3,746 /yr",Detached,32,3 Amber Crescent,Toronto,Maple Leaf,"$975,000 ",,,,,
38,No Data,"1 (Feb 3, 2020)","Keller Williams Advantage Realty, Brokerage",26.00 x 100 Feet,E4682394,2000-2500 sqft,2-Storey,"$3,078 /yr",Detached,86,212 Woodmount Avenue,Toronto,Danforth Village-east York,"$1,198,000 ",,,,,
39,51-99 years,"1 (Feb 3, 2020)","Blue Elephant Realty Inc., Brokerage",37.99 x 115 Feet,C4682373,No Data,2-Storey,"$8,473 /yr",Detached,43,1 Coldstream Avenue,Toronto,Lawrence Park South,"$1,739,000 ",,,,,
40,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Batori Group Inc., Brokerage",25.00 x 130 Feet,C4682360,No Data,2-Storey,"$7,794 /yr",Detached,72,149 Bannockburn Avenue,Toronto,Bedford Park-nortown,"$1,729,000 ",,,,,
41,No Data,"1 (Feb 3, 2020)","Royal Lepage Supreme Realty, Brokerage",25.00 x 193.14 Feet,W4682272,No Data,Bungalow,"$2,356 /yr",Detached,45,3585 Eglinton Avenue,Toronto,Mount Dennis,"$575,000 ",,,,,
42,New,"1 (Feb 3, 2020)","Royal Lepage Realty Centre, Brokerage",33.00 x 205.28 Feet,W4682242,3000-3500 sqft,2-Storey,No Data,Detached,31,95 Falstaff Avenue,Toronto,Maple Leaf,"$1,849,900 ",,,,,
