,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,img_link,price,Business Type,Property Type,Zoning
0,No Data,"6 (Jan 30, 2020)","Zolo Realty, Brokerage",43.02 x 117 Feet,E4679213,No Data,Bungalow-Raised,"$3,146 /yr",Detached,8,47 Morningside Avenue,Toronto,Guildwood,https://photos.zolo.ca/47-morningside-avenue-toronto-e4679213-photo-1-processed-480.jpg?2020-01-30+09%3A28%3A51,"$919,997",,,
1,0-5 years,"17 (Jan 19, 2020)","Zolo Realty, Brokerage",70.00 x 115 Feet,C4671340,5000 sqft,3-Storey,"$10,920 /yr",Detached,20,28 Caswell Drive,Toronto,Willowdale East,https://photos.zolo.ca/28-caswell-drive-toronto-c4671340-photo-1-processed-480.jpg?2020-01-19+16%3A14%3A26,"$3,998,000",,,
2,No Data,"1 (Feb 5, 2020)","Re/max Hallmark Realty Ltd., Brokerage",34.03 x 90 Feet,W4684815,No Data,1 1/2 Storey,"$3,403 /yr",Detached,78,9 Saunders Crescent,Toronto,Stonegate-queensway,https://photos.zolo.ca/9-saunders-crescent-toronto-w4684815-photo-1-processed-480.jpg?2020-02-05+14%3A27%3A03,"$1,119,000",,,
3,No Data,"1 (Feb 5, 2020)","Right At Home Realty Inc., Brokerage",32.65 x 108.91 Feet,E4684824,No Data,Backsplit 4,"$3,498 /yr",Detached,45,175 Leyton Avenue,Toronto,Oakridge,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$999,000",,,
4,No Data,"1 (Feb 5, 2020)","Re/max Hallmark First Group Realty Ltd., Brokerage",50.07 x 121.84 Feet,E4684805,No Data,Sidesplit 3,"$2,879 /yr",Detached,43,21 Benshire Drive,Toronto,Woburn,https://photos.zolo.ca/21-benshire-drive-toronto-e4684805-photo-1-processed-480.jpg?2020-02-05+14%3A18%3A51,"$699,900",,,
5,No Data,"1 (Feb 5, 2020)","Forest Hill Real Estate Inc., Brokerage",46.00 x 331 Feet,C4684855,No Data,2-Storey,"$15,800 /yr",Detached,32,213 Rosedale Heights Drive,Toronto,Rosedale-moore Park,https://photos.zolo.ca/213-rosedale-heights-drive-toronto-c4684855-photo-1-processed-orig.jpg?2020-02-05+14%3A15%3A59,"$2,825,000",,,
6,No Data,"1 (Feb 5, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 120 Feet,C4684844,No Data,2-Storey,"$7,801 /yr",Detached,81,23 Mcnairn Avenue,Toronto,Lawrence Park North,https://photos.zolo.ca/23-mcnairn-avenue-toronto-c4684844-photo-1-processed-orig.jpg?2020-02-05+14%3A15%3A58,"$1,399,999",,,
7,No Data,"1 (Feb 5, 2020)","Royal Lepage Signature Realty, Brokerage",50.00 x 115 Feet,C4684839,No Data,2-Storey,"$13,015 /yr",Detached,37,316 Joicey Boulevard,Toronto,Bedford Park-nortown,https://photos.zolo.ca/316-joicey-boulevard-toronto-c4684839-photo-1-processed-480.jpg?2020-02-05+14%3A15%3A51,"$2,300,000",,,
8,No Data,"1 (Feb 5, 2020)","Keller Williams Referred Realty, Brokerage",41.00 x 133 Feet,C4684817,No Data,2-Storey,"$7,457 /yr",Detached,29,189 Franklin Avenue,Toronto,Lansing-westgate,https://photos.zolo.ca/189-franklin-avenue-toronto-c4684817-photo-1-processed-480.jpg?2020-02-05+15%3A15%3A37,"$1,858,000",,,
9,No Data,"1 (Feb 5, 2020)","Royal Lepage Real Estate Professionals, Brokerage",47.01 x 118.66 Feet,W4684700,No Data,Bungalow,"$3,584 /yr",Detached,44,23 Annabelle Drive,Toronto,Mount Olive-silverstone-jamestown,https://photos.zolo.ca/23-annabelle-drive-toronto-w4684700-photo-1-processed-480.jpg?2020-02-05+13%3A31%3A15,"$949,900",,,
