Address,Lat,Long,Mls Number
"#613 -2737 KEELE ST|Toronto, Ontario M3M2E9",43.7257789,-79.480759,W4680978
"#614 -2737 KEELE ST|Toronto, Ontario M3M2E9",43.7257789,-79.480759,W4653141
"#906 -3555 BATHURST ST|Toronto, Ontario M6A2Y8",43.7307312,-79.4319228,C4678560
"#523 -2737 KEELE ST W|Toronto, Ontario M3M2E9",43.7257789,-79.480759,W4645203
"#717 -1 MASSEY SQ|Toronto, Ontario M4C5L4",43.6964446,-79.2941767,E4673276
"#1008 -236 ALBION RD|Toronto, Ontario M9W6A6",43.7220286,-79.5437092,W4672868
"#2304 -715 DON MILLS RD|Toronto, Ontario M3C1S5",43.7107421,-79.3336616,C4678547
"#507 -3077 WESTON RD|Toronto, Ontario M9M3A1",43.7323456,-79.5369412,W4681313
"#1810 -2 SONIC WAY|Toronto, Ontario M3C0P2",43.7201863142327,-79.3377153692367,C4666254
"#310 -2088 LAWRENCE AVE|Toronto, Ontario M9N3Z9",43.6997603,-79.5184922,W4675195
"#2610 -2 SONIC WAY|Toronto, Ontario M3C0P2",43.7201293861922,-79.3375708894831,C4646651
"#711 -3077 WESTON RD|Toronto, Ontario M9M3A1",43.7323456,-79.5369412,W4679216
"#507 -10 MARTHA EATON  WAY|Toronto, Ontario M6M5B3",43.6970689,-79.489911,W4680961
"#4811 -355 KING ST W|Toronto, Ontario M5V1J6",43.6460089,-79.3919615,C4634382
"#1207 -5 VICORA LINKWAY|Toronto, Ontario M4C1A5",43.7116603,-79.324539,C4681017
"#702 -2130 WESTON RD|Toronto, Ontario M9N3R9",43.7024619,-79.5246821,W4677857
"#222 -2800 KEEL ST|Toronto, Ontario M3M2G4",43.7286713,-79.4830157,W4674335
"#902 -251 JARVIS ST E|Toronto, Ontario M5B2C2",43.6574957,-79.3743712,C4665484
"#1510 -236 ALBION RD|Toronto, Ontario M9W6A6",43.7220286,-79.5437092,W4671848
"#815 ST -99 BROADWAY AVE|Toronto, Ontario",43.7106623,-79.3934822,C4660258
"#3307 -200 DUNDAS  ST E|Toronto, Ontario M5B2C2",43.6573757,-79.3740982,C4679728
"#725 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4644414
"#PH15 ST -99 BROADWAY AVE|Toronto, Ontario M4P1V2",43.7106623,-79.3934822,C4634589
"#1511 -225 SACKVILLE ST|Toronto, Ontario M5A3H1",43.6598236,-79.3627273,C4682053
"#23 -593 KENNEDY RD|Toronto, Ontario M1K2B2",43.7242478,-79.2641875,E4678074
"#402 -4 PARK VISTA DR|Toronto, Ontario M4B3M8",43.698102,-79.2994276,E4675972
"#820 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4664477
"#720 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4581593
|,43.6632108,-79.3778032,C4680519
"#616 -10 GATEWAY BLVD|Toronto, Ontario M3C3A1",43.7098214,-79.3326132,C4678992
"#1011 -170 SUMACH ST|Toronto, Ontario M5A3K2",43.6602919,-79.3605766,C4681359
"#831 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4653330
"#2210 -10 MARTHA EATON WAY|Toronto, Ontario M6M5B3",43.6970689,-79.489911,W4682508
"#2404 -75 EMMETT AVE|Toronto, Ontario M6M5A7",43.6872013,-79.504757,W4676612
"#2007 -120 PARLIAMENT ST|Toronto, Ontario M5A2Y8",43.6539272,-79.3638934,C4639875
"#703 -2088 LAWRENCE AVE|Toronto, Ontario M9N3Z9",43.6997603,-79.5184922,W4676192
"#104 -56 SIDNEY BELSEY CRES|Toronto, Ontario M6M5J2",43.6930936,-79.5064766,W4655568
"#205 -6 PARKWOOD AVE|Toronto, Ontario M4V0A3",43.6852419,-79.409829,C4671316
"#804 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4629145
"#3103 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4637581
"#1611 -1420 DUPONT ST|Toronto, Ontario M6H0C2",43.6666471,-79.4482065,W4677206
"#3111 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4654217
"#8 -68 WINSTON PARK BLVD|Toronto, Ontario M3K1C2",43.7301702,-79.4657998,W4573730
"#1101 -3 HICKORY TREE RD|Toronto, Ontario M9N3W5",43.698348,-79.5145916,W4668801
"#725 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7359898768769,-79.4836075292004,W4586075
"#701 -1461 LAWRENCE AVE W|Toronto, Ontario M6L1B3",43.7079575,-79.4803992,W4658133
"#1909 -100 LEEWARD GLENWAY GLWY|Toronto, Ontario M3C2Z1",43.7115951,-79.3293485,C4681680
"#305 -1030 KING ST W|Toronto, Ontario M6K3N3",43.6414819,-79.4158524,C4680403
"#406 -41 DOVERCOURT RD|Toronto, Ontario M6J3C2",43.6416552,-79.4212886,C4662919
"#4508 -12 YORK ST|Toronto, Ontario M5J2Z2",43.6419664,-79.3817396,C4671514
"#1407 -20 TUBMAN AVE|Toronto, Ontario M5A0M5",43.6607029,-79.359192,C4681398
"#1413 -120 PARLIAMENT ST|Toronto, Ontario M5A2Y8",43.6539272,-79.3638934,C4674014
"783 BATHURST STREET UNIT#622|Toronto, Ontario M5S0A8",43.664506,-79.410757,1179336
"#2402 -85 EMMETT AVE|Toronto, Ontario M6M5A2",43.687263,-79.506294,W4682156
"#907 -8 SCOLLARD ST|Toronto, Ontario M5R1M2",43.6725941,-79.3886364,C4673105
"#310 -1603 EGLINTON AVE W|Toronto, Ontario M6E2H1",43.6969107,-79.4430945,C4675378
"#807 NT -99 BROADWAY AVE|Toronto, Ontario M4P1V2",43.7106623,-79.3934822,C4611215
"#404 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4579066
"#1020 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4582882
"357 SILVERTHORN AVE|Toronto, Ontario M6M3G7",43.6835513,-79.4631812,W4677360
"#301 -52 SIDNEY BELSEY CRES|Toronto, Ontario M6M5J1",43.693194,-79.5057876,W4668512
"#2003 -830 LAWRENCE AVE W|Toronto, Ontario M6A1C3",43.7149971,-79.4542277,W4680149
"#3502 -200 DUNDAS ST|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4645257
"#23 -150 BROADVIEW AVE|Toronto, Ontario M4M0A9",43.6601183,-79.350711,E4674280
"#712E -36 LISGAR ST|Toronto, Ontario M6J0C7",43.6419833,-79.4232498,C4670820
"#1109 -161 ROEHAMPTON AVE|Toronto, Ontario M4P2K4",43.7087689,-79.3937974,C4583668
"#3404 -2221 YONGE ST|Toronto, Ontario M4S2B4",43.7060203,-79.3979253,C4667882
"#905 -21 NELSON ST|Toronto, Ontario M5V1T8",43.6487831,-79.3880423,C4672841
"#2603 -8 COLBORNE ST|Toronto, Ontario M5E1E1",43.6488,-79.3771334,C4677838
"#316 -22 LEADER LANE|Toronto, Ontario M5E0B2",43.6492612,-79.3757259,C4681809
"#106 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4576478
"#116 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7361518922646,-79.4830182899788,W4565212
"#1412 NT -99 BROADWAY AVE|Toronto, Ontario M4P1V2",43.7106623,-79.3934822,C4617367
"#2206 -830 LAWRENCE AVE W|Toronto, Ontario M6A0B6",43.7149971,-79.4542277,W4681885
"#429 -830 LAWRENCE AVE W|Toronto, Ontario M6A1C3",43.7149971,-79.4542277,W4679482
"#147 -80 PARROTTA DR|Toronto, Ontario M9M0E6",43.7338126,-79.5351847,W4679611
"#315 -830 LAWRENCE AVE W|Toronto, Ontario M6A1C3",43.7149971,-79.4542277,W4681374
"#PH10 -255 RICHMOND ST E|Toronto, Ontario M5A4T7",43.6528446,-79.3704469,C4677466
"167 AUGUST AVE|Toronto, Ontario M1L3N3",43.6968585,-79.2826397,E4651773
"#702 -225 MERTON ST|Toronto, Ontario M4S3H1",43.697379,-79.3897194,C4677452
"#314 -630 ROGERS RD|Toronto, Ontario M6M4G3",43.6819275,-79.4739413,W4674118
"#61 -2315 SHEPPARD AVE|Toronto, Ontario M9M3A4",43.7343312,-79.5344579,W4679373
"#489 -1 GREYSTONE WALK DR|Toronto, Ontario M1K5J3",43.7235629,-79.2525218,E4677134
"#2013 -197 YONGE ST|Toronto, Ontario M5B1M4",43.6535246,-79.3792385,C4656453
"#1018 -155 YORKVILLE AVE|Toronto, Ontario M5R1C4",43.6703202,-79.3944332,C4668205
"#734 -629 KING ST|Toronto, Ontario M5V1M5",43.6439387,-79.4014775,C4680901
"#2212 -200 DUNDAS ST E|Toronto, Ontario M5A1Z4",43.6573757,-79.3740982,C4674879
"#308 -830 LAWRENCE AVE W|Toronto, Ontario M6A1C3",43.7149971,-79.4542277,W4677805
"#2704 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4665681
"#219 -25 EARLINGTON AVE|Toronto, Ontario M8X3A3",43.6613649,-79.5077343,W4676884
"#220 -60 HEINTZMAN ST|Toronto, Ontario M6P5A1",43.6668646,-79.4644815,W4682483
"#310 -78 TECUMSETH ST|Toronto, Ontario M5V0A9",43.6431201,-79.4053327,C4681972
"#204 -8 DOVERCOURT RD|Toronto, Ontario M6J0B6",43.6416011,-79.42198,C4674307
"#404 -109 WOLSELEY ST|Toronto, Ontario M6J1K1",43.6479757,-79.404471,C4667378
"#605 -7 BROADWAY AVE|Toronto, Ontario M4P3C5",43.7095514,-79.3982697,C4670488
"#N1105 -6 SONIC WAY|Toronto, Ontario M3C0P1",43.7202119304751,-79.3376463678889,C4650264
"#708 -61 RICHVIEW RD|Toronto, Ontario M9A4M8",43.683989,-79.516695,W4678443
"#612 -61 RICHVIEW RD|Toronto, Ontario M9A4M8",43.683989,-79.516695,W4677631
"#809 -2772 KEELE ST|Toronto, Ontario M3M2G2",43.7275214,-79.4827802,W4680508
"#214 -2355 SHEPPARD AVE W|Toronto, Ontario M9M0B4",43.734059,-79.5362966,W4668030
"#57 -68 WINSTON PARK BLVD|Toronto, Ontario M3K1C2",43.7302535,-79.4652409,W4680260
"#2614 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4675660
"#2101 -60 SHUTER ST|Toronto, Ontario M5B1A8",43.6551052,-79.3762548,C4676521
"#529 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4665770
"#2003 -16 BONNYCASTLE ST|Toronto, Ontario M5A0C9",43.6461433,-79.3650321,C4681134
"#109 -2995 KEELE ST|Toronto, Ontario M2R2C5",43.7360353,-79.4837688,W4580299
"#1210 -375 KING ST W|Toronto, Ontario M5V1K1",43.645641,-79.3929534,C4679056
"#918 -200 DUNDAS ST W|Toronto, Ontario M5A4R6",43.6552155,-79.3871283,C4671166
"#N2705 -6 SONIC WAY|Toronto, Ontario M3C0P1",43.7200374428446,-79.3378231071014,C4645837
"#506 -155 YORKVILLE AVE|Toronto, Ontario M5R1C4",43.6703202,-79.3944332,C4670324
"1806 -  33 MILL Street|Toronto, Ontario M5A3R3",43.6503,-79.360821,30787171
"#1103 -33 MILL ST|Toronto, Ontario M5A3R3",43.6502401,-79.3609196,C4666904
"#628 -36 BLUE JAYS WAY|Toronto, Ontario M5V3T3",43.6449299,-79.3921465,C4678215
"#11 -68 WINSTON PARK BLVD N|Toronto, Ontario M3K1C2",43.7302535,-79.4652409,W4649764
"#1416 -15 LA ROSE AVE|Toronto, Ontario M9P1A7",43.6863146,-79.5141914,W4667396
"#605 -2240 LAKESHORE BLVD W|Toronto, Ontario M8V1A5",43.6443649,-79.3755345,W4680094
"#524 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4582118
"#2403 -1 KING ST W|Toronto, Ontario M5H1A1",43.6488576,-79.3781453,C4596494
"#102 -111 ELIZABETH ST|Toronto, Ontario M5G1P7",43.6550554,-79.3847211,C4654729
"#601 -323 RICHMOND ST E|Toronto, Ontario M5A4R3",43.6531574,-79.3686431,C4679874
"601 -  323 Richmond Street E|Toronto, Ontario M5A4R3",43.653322,-79.368296,30783339
"#3312 -197 YONGE ST|Toronto, Ontario M5B1M4",43.6526957,-79.379085,C4678966
"#612 -1171 QUEEN ST W|Toronto, Ontario M6J0A5",43.6425962,-79.4259429,C4678037
"#207 -5 CONCORDE PL|Toronto, Ontario M3C3M8",43.7303213,-79.3272765,C4681960
"#4604 -2221 YONGE ST|Toronto, Ontario M4S2B4",43.7060203,-79.3979253,C4674647
"#1707 -77 SHUTER ST|Toronto, Ontario M5C1S1",43.6551361,-79.3749533,C4664700
